,exp,mic,helmet,toaster,teapot,ficus,materials,chair,coffee,lego,hotdog,ship,drums,car,ball,mean
0,noprednorms_nl0_conserve_pb0,1.053192138671875,0.5874636769294739,0.925021231174469,0.7018845081329346,1.23533296585083,0.5740629434585571,1.17225980758667,0.6199910640716553,1.106816291809082,1.0116554498672485,0.8377759456634521,1.0529849529266357,0.3726620376110077,0.9500391483306885,0.8715101544346128
1,fixedmip,,,,,,,,,,,,,,,
2,noconv,,,,,,,,,,,,,,,
3,fixedmip128,0.9761265516281128,0.6582483053207397,0.5234596729278564,0.6946008205413818,0.8985894322395325,0.8563843369483948,0.8492445945739746,0.6524869799613953,0.8043286800384521,0.8353861570358276,0.9540424942970276,0.8469538688659668,0.6167112588882446,0.8570021986961365,0.7873975251402173
4,tensorf,0.8593416213989258,0.8319418430328369,0.7307285666465759,0.7536279559135437,0.7307285666465759,0.9236533045768738,0.7307285666465759,0.8364900350570679,0.7449301481246948,0.767952561378479,0.7668102979660034,0.7309485673904419,0.921588659286499,0.9315164685249329,0.8043562258992877
5,singlebounce_samen,1.1413978338241577,0.7115864157676697,0.703366219997406,0.9660648107528687,0.8977659940719604,0.6053130626678467,1.302290439605713,0.6200701594352722,1.102931261062622,1.0185238122940063,1.0448026657104492,1.1074790954589844,0.6496977806091309,0.9707310199737549,0.9172871836594173
6,interpdiffuse,,,,,,,,,,,,,,,
7,interpdiffuse_flipnorm,,,,,,,,,,,,,,,
8,nodiffuse,,,,,,,,,,,,,,,
9,noupsample,,,,,,,,,,,,,,,
